,title,media,date,datetime,desc,link,img
28,Survey: 101 university students committed suicide in 2021,Dhaka Tribune,"an 29, 2022",,"As many as 101 students of different universities in Bangladesh took their own lives last year against the backdrop of the Covid-19 pandemic, according to a...",https://www.dhakatribune.com/bangladesh/2022/01/29/survey-101-university-students-committed-suicide-in-2021,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
29,US police say college student Zinat’s death was a suicide. Her family disagrees,bdnews24.com,15-May-22,,"Her family disagrees. US police have labelled the death of Zinat Hossain, a college student of Bangladeshi descent, in an incident on a New York train line a...",https://bdnews24.com/bangladesh/us-police-say-college-student-zinats-death-was-a-suicide.-her-family-disagrees,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
30,"BUET student dies by apparent suicide, body found at home in Hazaribagh",bdnews24.com,4 weeks ago,28:37.6,“It appears that Rafi died by suicide. The body was taken to Shaheed Suhrawardy Medical College Hospital for a post-mortem examination to confirm the cause...,https://bdnews24.com/bangladesh/4l0ug84hdz,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
31,Bangladesh: Police investigation underway into alleged ...,International Federation of Journalists,"an 5, 2023",,Bangladesh police are investigating the alleged 'suicide' of a female journalist Shabnam Sharmin after a member of her family filed a 'case' against her husband...,https://www.ifj.org/media-centre/news/detail/category/press-releases/article/bangladesh-police-investigation-underway-into-alleged-suicide-of-female-journalist,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
32,Bangladesh saw nearly 600 student suicides in 2022. What is causing these tragedies?,bdnews24.com,"ar 14, 2023",,"An Aachol Foundation report found that 585 students in Bangladesh committed suicide in 2022, nearly 50 a month. Most of them, 76.12 percent, were between 13...",https://bdnews24.com/stripe/mind-strings/q8zydjmll9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
33,Former Bangladesh U-19 batsman dies by suicide,The Indian Express,16-Nov-20,,"Mohammad Sozib, former Bangladesh Under-19 player, died by suicide in Durgapur at the age of 21, according to the local police. Right-hand opening batsman...",https://indianexpress.com/article/sports/cricket/former-bangladesh-u-19-batsman-dies-by-suicide-7053316/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
34,"Both DB, RAB now claim Fardin died by suicide",The Business Standard,14-Dec-22,,"... that Bangladesh University of Engineering and Technology (Buet) student Fardin Noor Parash died by suicide, contradicting their earlier claims.",https://www.tbsnews.net/bangladesh/buet-student-fardin-committed-suicide-db-551538,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
35,Suicide among adolescents and youths during the COVID‐19 ...,Wiley Online Library,"pr 3, 2021",,(2020) recently reported that online schooling related problems leading mother and son suicide-pact in Bangladesh. As the schools are employing virtual...,https://onlinelibrary.wiley.com/doi/10.1111/jcap.12313,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
36,JU student committed suicide in his dormitory room,The Financial Express,"pr 5, 2023",,"Besides, Al-Amin Hossain Rubel (Channel I Online), Abdul Mannan (Daily Protidiner Bangladesh), and Bayezid Hasan Rakib (Daily Inqilab) have elected executive...",https://thefinancialexpress.com.bd/education/ju-student-committed-suicide-in-his-dormitory-room,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
37,Three Chinese killed by female suicide bomber in Pakistan,New Age,26-Apr-22,,"A woman suicide bomber from a Pakistan separatist group killed four people, including three Chinese nationals, in an attack on a minibus carrying staff from...",https://www.newagebd.net/article/169082/three-chinese-killed-by-female-suicide-bomber-in-pakistan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
38,The Suicide Squad seeks redemption for supervillains,New Age,04-Aug-21,,"When James Gunn was asked to direct the next DC superhero film, he didn't pick an icon like Superman, Batman, or Wonder Woman. He chose the rag-tag group of...",https://www.newagebd.net/article/145465/the-suicide-squad-seeks-redemption-for-supervillains,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
39,Suicide on my mind: What happens when happy people die by suicide,The Business Standard,31-Dec-22,,"On 13 December 2022, Stephen Laurel ""tWitch"" Boss died by suicide, ... Suicides have claimed nearly double the number of Bangladesh lives in 2020,...",https://www.tbsnews.net/thoughts/suicide-my-mind-what-happens-when-happy-people-die-suicide-560674,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
40,Newlywed Couple Launched Suicide Attack at Indonesian ...,Benar News,"ar 29, 2021",,The two suspects who carried out a suicide bombing in Indonesia's South Sulawesi province on Palm Sunday were a newlywed couple and part of a local militant...,https://www.benarnews.org/english/news/indonesian/couple-blamed-03292021173528.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
41,Alarming rise in student suicides demands immediate ...,Dhaka Tribune,1 month ago,28:57.0,"In Bangladesh, the immense emphasis on academic achievement has left many students struggling with anxiety, depression and hopelessness. Parents, teachers and...",https://www.dhakatribune.com/bangladesh/2023/05/10/alarming-rise-in-student-suicides-demands-immediate-intervention,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
42,Understanding the rise in suicides in Bangladesh through the Dark Triad,The Business Standard,07-Dec-22,,"Suicides have claimed nearly double the number of Bangladesh lives in 2020, compared to the deaths from Covid-19. Nearly half of the suicides were from young...",https://www.tbsnews.net/thoughts/understanding-rise-suicides-bangladesh-through-dark-triad-546934,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
43,"Suicide bomber breaches high security in Pakistan mosque, kills 59",bdnews24.com,"an 30, 2023",,"""It was a suicide bombing,"" Peshawar Police Chief Ijaz Khan told Reuters. Many of the 170 wounded people were in critical condition, he said. The death toll...",https://bdnews24.com/world/south-asia/bywkvx71mc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
44,"In debt, farmer commits suicide",New Age,"un 10, 2022",,"In debt, farmer commits suicide. United News of Bangladesh . Bogura | Published: 22:40, Jun 10,2022.",https://www.newagebd.net/article/172920/in-debt-farmer-commits-suicide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
45,"Bangladesh police join forces with Meta, TikTok to prevent ...",Arab News,21-Feb-22,,DHAKA: Police in Bangladesh have joined forces with social media giants Meta and TikTok in an effort to prevent suicides after a man in Dhaka shot himself...,https://www.arabnews.com/node/2029256/world,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
46,Police hunt for father of uni student who called him ‘rapist’ in suicide note,The Business Standard,28-Aug-22,,"Police hunt for father of uni student who called him 'rapist' in suicide note ... with the alleged suicide of his 21-year-old daughter Sanjana Mosaddeka,...",https://www.tbsnews.net/bangladesh/police-hunt-father-uni-student-who-called-him-rapist-suicide-note-485482,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
47,Suicide is not a crime — countries must stop treating it as one,Al Jazeera,"ct 10, 2022",,"The law also finds ways to punish the deceased posthumously, as well as their families. Bangladesh, Kenya and the Bahamas, for instance, have provisions in...",https://www.aljazeera.com/opinions/2022/10/10/suicide-is-not-a-crime-countries-must-stop-treating-it-as,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
48,British-Australian academic has repeatedly attempted suicide ...,Reuters,07-May-20,,"(Reuters) - British-Australian academic Kylie Moore-Gilbert has repeatedly attempted suicide while detained in Iran, the Center for Human Rights in Iran...",https://www.reuters.com/article/us-iran-britain-detainee-idUSKBN22J39F,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
49,Islamic State claims responsibility for suicide bombing in southwest Pakistan,bdnews24.com,"ar 6, 2023",,"""ISIS claims suicide attack in Sibi, Balochistan,"" tweeted Rita Katz, director of the SITE Intel Group that tracks Islamist extremists. Hospital officials said...",https://bdnews24.com/world/south-asia/rukn35paxx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
50,Bashundhara MD sued for abetting suicide after woman found ...,Dhaka Tribune,27-Apr-21,,"File photo of Mosarat Jahan Munia | CollectedSayem is the son of Ahmed Akbar Sobhan, chairman of one of the largest industrial conglomerates in Bangladesh.",https://archive.dhakatribune.com/bangladesh/2021/04/27/body-of-hsc-student-found-in-gulshan-flat,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
51,"Henolux owner, wife accused of provoking contractor Anis to commit suicide",bdnews24.com,05-Jul-22,,... Amin are facing charges of instigating contractor Gazi Anis to die by suicide. ... The 50-year-old Anis was a former president of the Bangladesh Chhatra...,https://bdnews24.com/bangladesh/2022/07/05/henolux-owner-wife-accused-of-provoking-contractor-anis-to-commit-suicide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
52,"Police suspect instigation behind Musharrat's suicide, accused Anvir in Bangladesh",Prothom Alo English,29-Apr-21,,"... instigation behind Musharrat's suicide, accused Anvir in Bangladesh ... Police suspect there was serious instigation behind the reported suicidal death...",https://en.prothomalo.com/bangladesh/crime-and-law/police-suspect-instigation-behind-musharrats-suicide-accused-anvir-in-bangladesh,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
53,Holy Cross student suicide puzzles police,Dhaka Tribune,26-Aug-22,,"8/C, FR Tower, Panthapath, Dhaka 1207, Bangladesh. Kazi Anis Ahmed, Publisher. Developed by ""Gemcon IT"".",https://www.dhakatribune.com/bangladesh/2022/08/26/holy-cross-student-suicide-puzzles-police,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
